date,asset,weight,score,sector,regime_label,regime_reason,dominant_category_effects,ow_reason
2025-10-31,PLTR,0.0815039543373473,0.0219881365684504,Technology,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",Sales 1Y growth (0.50); Sales 3M growth (0.48); EPS 1Y growth (0.44)
2025-10-31,MU,0.0815039543373473,0.020628631867048,Technology,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",medium-term momentum (0.48); news sentiment trend (0.48); 63-day return strength (0.46)
2025-10-31,LITE,0.0815039543373473,0.100238005112664,Technology,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",long-term momentum (0.48); EPS 1Y growth (0.48); Sales 1Y growth (0.46)
2025-10-31,JPM,0.0140313331137766,0.0524235749256283,Financials,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",Sales revision momentum (0.41); EPS revision momentum (0.38); large-cap support (0.34)
2025-10-31,SPGI,0.0140313331137766,0.0419629269383509,Financials,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",target price upside (0.40); Sales revision momentum (0.34); high operating margin (0.34)
2025-11-28,MU,0.0749401461162468,0.0564409000283748,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",news sentiment trend (0.48); medium-term momentum (0.46); EPS 3M growth (0.46)
2025-11-28,000660,0.0749401461162468,0.0315319296747422,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",Sales 3M growth (0.50); FCF yield (0.50); medium-term momentum (0.48)
2025-11-28,005930,0.0749401461162468,0.0172897983944872,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",EPS 3M growth (0.50); FCF yield (0.48); target price upside (0.44)
2025-11-28,MA,0.0099892657297025,0.0631334115762607,Financials,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",high ROE (0.48); high operating margin (0.46); large-cap support (0.26)
2025-11-28,SPGI,0.0099892657297025,0.0296907976243932,Financials,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",Sales revision momentum (0.42); 21-day return strength (0.34); EPS revision momentum (0.34)
2025-12-31,PLTR,0.0859550573868747,0.0489296906158045,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",Sales 1Y growth (0.48); EPS 1Y growth (0.40); EPS 3M growth (0.38)
2025-12-31,MU,0.0859550573868747,0.0175845621125815,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",EPS 3M growth (0.50); EPS 1Y growth (0.50); Sales 3M growth (0.50)
