date,asset,weight,score,sector,regime_label,regime_reason,dominant_category_effects,uw_reason
2025-10-31,AAPL,-0.1578599016528323,-0.0309040846694879,Technology,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",Sales revision momentum (-0.42); target price upside (-0.38); EPS revision momentum (-0.32)
2025-10-31,MSFT,-0.1578599016528323,-0.0838254897393437,Technology,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",sector-relative 63D return (-0.44); 63-day return strength (-0.28); sector-relative 21D return (-0.28)
2025-10-31,GOOGL,-0.1578599016528323,-0.0690587541123526,Technology,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",FCF yield (-0.23)
2025-10-31,V,-0.014634047419028,0.0192792133115263,Financials,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",EPS revision momentum (-0.30); 21-day return strength (-0.22); long-term momentum (-0.20)
2025-10-31,MA,-0.014634047419028,0.0152089028721857,Financials,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",Sales revision momentum (-0.40); EPS revision momentum (-0.36); 21-day return strength (-0.32)
2025-11-28,MSFT,-0.0776430673067867,-0.1338693929453595,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",21-day return strength (-0.34); sector-relative 63D return (-0.34); analyst recommendation improvement (-0.32)
2025-11-28,META,-0.0776430673067867,-0.1358927979099797,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",EPS revision momentum (-0.48); sector-relative 63D return (-0.44); 63-day return strength (-0.42)
2025-11-28,AVGO,-0.0776430673067867,-0.1021358175677758,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",Sales revision momentum (-0.48); EPS revision momentum (-0.44); target price upside (-0.34)
2025-11-28,JPM,-0.0084250794229062,-0.0404416735891852,Financials,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",analyst recommendation improvement (-0.46); target price upside (-0.22); news sentiment trend (-0.18)
2025-11-28,V,-0.0084250794229062,-0.0108329405488269,Financials,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",EPS revision momentum (-0.40); long-term momentum (-0.30); 63-day return strength (-0.22)
2025-12-31,AAPL,-0.1719197203968001,-0.1428784872602885,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",news sentiment trend (-0.34); 21-day return strength (-0.32); sector-relative 21D return (-0.32)
2025-12-31,MSFT,-0.1719197203968001,-0.186738708068074,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",63-day return strength (-0.32); sector-relative 63D return (-0.28); medium-term momentum (-0.22)
2025-12-31,META,-0.1719197203968001,-0.0670913609211004,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",medium-term momentum (-0.44); EPS 3M growth (-0.40); FCF yield (-0.38)
2025-12-31,JPM,-0.0170483006131782,-0.1015597797938235,Financials,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",EPS revision momentum (-0.48); Sales revision momentum (-0.46); target price upside (-0.38)
2025-12-31,BLK,-0.0170483006131782,-0.0287888600781853,Financials,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",EPS revision momentum (-0.44); Sales revision momentum (-0.38); medium-term momentum (-0.36)
2026-01-30,AAPL,-0.1480886984975462,-0.1919909365339031,Technology,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"macro:-0.0505, fundamental:0.0416, stock_price:-0.0215",Sales revision momentum (-0.38); 21-day return strength (-0.26); EPS revision momentum (-0.24)
2026-01-30,MSFT,-0.1480886984975462,-0.1635014429308606,Technology,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"macro:-0.0505, fundamental:0.0416, stock_price:-0.0215",63-day return strength (-0.44); 21-day return strength (-0.40); sector-relative 21D return (-0.38)
2026-01-30,GOOGL,-0.1480886984975462,-0.1761865791878522,Technology,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"macro:-0.0505, fundamental:0.0416, stock_price:-0.0215",EPS revision momentum (-0.43); Sales revision momentum (-0.40); FCF yield (-0.33)
2026-01-30,JPM,-0.014528742186662,-0.03914385703339,Financials,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"macro:-0.0505, fundamental:0.0416, stock_price:-0.0215",news sentiment trend (-0.36); 21-day return strength (-0.28); high ROE (-0.26)
2026-01-30,V,-0.014528742186662,-0.1794565249094427,Financials,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"macro:-0.0505, fundamental:0.0416, stock_price:-0.0215",21-day return strength (-0.36); sector-relative 21D return (-0.32); analyst recommendation improvement (-0.28)
2026-02-27,GOOGL,-0.1069641902198275,-0.165662687538521,Technology,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",FCF yield (-0.38); 21-day return strength (-0.32); 63-day return strength (-0.20)
